# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.2e-05       	p_rgh         	1.011578e+05	(3.182077e+00 1.434672e+00 3.028011e+00)	3	1.306981e+05	(-3.447824e+00 -5.733225e-01 2.973389e+00)	3
2.64e-05      	p_rgh         	1.004919e+05	(3.182077e+00 1.434672e+00 3.028011e+00)	3	1.314279e+05	(-3.166122e+00 -1.480681e+00 2.956241e+00)	3
4.368e-05     	p_rgh         	9.964447e+04	(3.182077e+00 -1.434672e+00 3.028011e+00)	3	1.325720e+05	(-3.166122e+00 -1.480681e+00 2.956241e+00)	3
6.4416e-05    	p_rgh         	9.812669e+04	(3.182077e+00 1.434672e+00 3.028011e+00)	3	1.333011e+05	(-3.166122e+00 1.480681e+00 2.956241e+00)	3
8.92992e-05   	p_rgh         	9.584207e+04	(3.182077e+00 1.434672e+00 3.028011e+00)	3	1.339352e+05	(-3.166122e+00 1.480681e+00 2.956241e+00)	3
0.000119159   	p_rgh         	9.242165e+04	(3.182077e+00 1.434672e+00 3.028011e+00)	3	1.344494e+05	(-3.166122e+00 1.480681e+00 2.956241e+00)	3
0.000154991   	p_rgh         	8.736277e+04	(3.182077e+00 1.434672e+00 3.028011e+00)	3	1.347839e+05	(-3.166122e+00 1.480681e+00 2.956241e+00)	3
0.000197989   	p_rgh         	8.210597e+04	(3.182077e+00 1.434672e+00 3.028011e+00)	3	1.350054e+05	(-3.447824e+00 -5.733225e-01 2.973389e+00)	3
0.000245772   	p_rgh         	7.632564e+04	(3.429471e+00 5.449527e-01 2.590741e+00)	3	1.350829e+05	(-3.447824e+00 -5.733225e-01 2.973389e+00)	3
0.000281329   	p_rgh         	7.229098e+04	(3.429164e+00 -5.462087e-01 2.466834e+00)	3	1.350319e+05	(-3.447824e+00 -5.733225e-01 2.973389e+00)	3
0.000314063   	p_rgh         	6.994226e+04	(3.429164e+00 -5.462087e-01 2.466834e+00)	3	1.349097e+05	(-3.447824e+00 -5.733225e-01 2.973389e+00)	3
0.000345368   	p_rgh         	6.672850e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.347334e+05	(-3.447824e+00 -5.733225e-01 2.973389e+00)	3
0.00037586    	p_rgh         	6.462308e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.345323e+05	(-3.323456e+00 -1.073187e+00 2.973140e+00)	3
0.000406092   	p_rgh         	6.361180e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.342969e+05	(-3.323456e+00 -1.073187e+00 2.973140e+00)	3
0.000436588   	p_rgh         	6.360610e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.342177e+05	(-3.477850e+00 3.113630e-01 2.973293e+00)	3
0.000467852   	p_rgh         	6.461790e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.344307e+05	(3.166025e+00 1.480800e+00 2.956244e+00)	3
0.000500111   	p_rgh         	6.673327e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.375414e+05	(3.166025e+00 1.480800e+00 2.956244e+00)	3
0.000532049   	p_rgh         	6.987852e+04	(3.308362e+00 -1.047439e+00 2.467218e+00)	3	1.398155e+05	(3.166025e+00 1.480800e+00 2.956244e+00)	3
0.000564181   	p_rgh         	7.299520e+04	(3.345954e+00 -5.764806e-01 2.468783e+00)	3	1.411582e+05	(3.166025e+00 1.480800e+00 2.956244e+00)	3
0.00059697    	p_rgh         	6.990913e+04	(3.345954e+00 -5.764806e-01 2.468783e+00)	3	1.414468e+05	(3.166025e+00 1.480800e+00 2.956244e+00)	3
0.000630073   	p_rgh         	6.693636e+04	(3.345954e+00 -5.764806e-01 2.468783e+00)	3	1.406334e+05	(3.166025e+00 1.480800e+00 2.956244e+00)	3
0.000663249   	p_rgh         	6.417488e+04	(3.345954e+00 -5.764806e-01 2.468783e+00)	3	1.387887e+05	(3.166025e+00 1.480800e+00 2.956244e+00)	3
0.000696937   	p_rgh         	6.168020e+04	(3.345954e+00 -5.764806e-01 2.468783e+00)	3	1.428214e+05	(3.450659e+00 5.722921e-01 2.847066e+00)	3
0.000731577   	p_rgh         	5.952841e+04	(3.345954e+00 -5.764806e-01 2.468783e+00)	3	1.463787e+05	(3.450659e+00 5.722921e-01 2.847066e+00)	3
0.000766102   	p_rgh         	5.782625e+04	(3.345954e+00 -5.764806e-01 2.468783e+00)	3	1.488128e+05	(3.450659e+00 5.722921e-01 2.847066e+00)	3
0.000800642   	p_rgh         	5.657115e+04	(3.345954e+00 -5.764806e-01 2.468783e+00)	3	1.533598e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.000835631   	p_rgh         	5.582413e+04	(3.345954e+00 -5.764806e-01 2.468783e+00)	3	1.630115e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.000871483   	p_rgh         	5.558504e+04	(3.345954e+00 -5.764806e-01 2.468783e+00)	3	1.724961e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.000908636   	p_rgh         	5.541645e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.814812e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.0009476     	p_rgh         	5.561872e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.895197e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.000988668   	p_rgh         	5.613059e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.960112e+05	(3.330778e+00 1.068745e+00 2.466110e+00)	3
0.00102815    	p_rgh         	5.669506e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	2.003343e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00106634    	p_rgh         	5.727260e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	2.026031e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00110348    	p_rgh         	5.775646e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	2.028152e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00113977    	p_rgh         	5.796935e+04	(2.948526e+00 -1.696456e+00 2.594846e+00)	3	2.011582e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00117535    	p_rgh         	5.775433e+04	(2.948526e+00 -1.696456e+00 2.594846e+00)	3	1.977797e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00121031    	p_rgh         	5.759202e+04	(2.948526e+00 -1.696456e+00 2.594846e+00)	3	1.928557e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00124473    	p_rgh         	5.678230e+04	(3.429471e+00 5.449527e-01 2.590741e+00)	3	1.865719e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00127865    	p_rgh         	5.582270e+04	(3.429471e+00 5.449527e-01 2.590741e+00)	3	1.791386e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00131212    	p_rgh         	5.626578e+04	(3.429471e+00 5.449527e-01 2.590741e+00)	3	1.707602e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00134514    	p_rgh         	5.553817e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.616288e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00137774    	p_rgh         	5.440652e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.519208e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00140991    	p_rgh         	5.317105e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.417950e+05	(3.330778e+00 -1.068745e+00 2.466110e+00)	3
0.00144168    	p_rgh         	5.189649e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.410350e+05	(3.370854e+00 -9.357003e-01 2.720992e+00)	3
0.00147304    	p_rgh         	5.063940e+04	(3.345271e+00 5.763583e-01 2.594803e+00)	3	1.416646e+05	(3.370854e+00 -9.357003e-01 2.720992e+00)	3
